M500c_Msun,z,Ez,r500c_Mpc,y0_param,y0_orig,ratio
1.0000000000000000e+14,1.6000000000000000e-01,1.0837340303710514e+00,6.8398565214514029e-01,4.0074676865847992e-06,1.3229179928505309e-05,3.0292638759487950e-01
1.0000000000000000e+14,5.0000000000000000e-01,1.3188010593667741e+00,6.0008016802138253e-01,5.9344869901666547e-06,1.9590525068760867e-05,3.0292638759487933e-01
1.0000000000000000e+14,1.0000000000000000e+00,1.7827143713381961e+00,4.9084113901924054e-01,1.0843965783407870e-05,3.5797362750418824e-05,3.0292638759487939e-01
5.0000000000000000e+14,1.6000000000000000e-01,1.0837340303710514e+00,1.1695990130401641e+00,1.4215093859719878e-05,8.0237858320796800e-05,1.7716193025600083e-01
5.0000000000000000e+14,5.0000000000000000e-01,1.3188010593667741e+00,1.0261226533942749e+00,2.1050522717102001e-05,1.1882080245278306e-04,1.7716193025600080e-01
5.0000000000000000e+14,1.0000000000000000e+00,1.7827143713381961e+00,8.3932654136229412e-01,3.8465186366630453e-05,2.1711880374665067e-04,1.7716193025600080e-01
1.0000000000000000e+15,1.6000000000000000e-01,1.0837340303710514e+00,1.4736024164655712e+00,2.4522798475853555e-05,1.7439455586327289e-04,1.4061676612817936e-01
1.0000000000000000e+15,5.0000000000000000e-01,1.3188010593667741e+00,1.2928335307854280e+00,3.6314760317245081e-05,2.5825341683752230e-04,1.4061676612817933e-01
1.0000000000000000e+15,1.0000000000000000e+00,1.7827143713381961e+00,1.0574851771978142e+00,6.6357213178725800e-05,4.7190114668287726e-04,1.4061676612817933e-01
