logtheta,logtheta500,yt
-16,-9.5,0.0030120178586550946
-16,-9.1923076923076916,0.005545458551834811
-16,-8.884615384615385,0.010177514928743484
-16,-8.5769230769230766,0.01858699651572434
-16,-8.2692307692307701,0.033694257151836576
-16,-7.9615384615384617,0.060423810107453575
-16,-7.6538461538461542,0.1067245520557038
-16,-7.3461538461538458,0.18467576312913578
-16,-7.0384615384615383,0.31117579749005853
-16,-6.7307692307692308,0.50729591705335997
-16,-6.4230769230769234,0.79520984101473913
-16,-6.115384615384615,1.1922316507852408
-16,-5.8076923076923075,1.7032128460940823
-16,-5.5,2.314617733879885
-16,-5.1923076923076925,2.9941331476904351
-16,-4.884615384615385,3.6972872692948666
-16,-4.5769230769230766,4.3784610477415624
-16,-4.2692307692307692,5.0011635233398017
-16,-3.9615384615384617,5.5435127383995617
-16,-3.6538461538461537,5.9981739782705423
-16,-3.3461538461538463,6.3687047386834097
-16,-3.0384615384615383,6.6649046448632738
-16,-2.7307692307692308,6.8989262960250954
-16,-2.4230769230769229,7.0827617357116246
-16,-2.1153846153846154,7.2269751100269044
-16,-1.8076923076923077,7.3402836767139936
-16,-1.5,7.4296062341480402
-16,-1.1923076923076923,7.5003135852225054
-16,-0.88461538461538458,7.5565293398764704
-16,-0.57692307692307687,7.6014089976837766
-16,-0.26923076923076922,7.6373714593928996
-16,0.038461538461538464,7.6662800660152088
-16,0.34615384615384615,7.6895796459372079
-16,0.65384615384615385,7.7083985623674529
-16,0.96153846153846156,7.7236242680651959
-16,1.2692307692307692,7.7359593402381925
-16,1.5769230769230769,7.745963401243614
-16,1.8846153846153846,7.7540848597291898
-16,2.1923076923076925,7.7606852824888239
-16,2.5,7.7660578532064983
-15.84873949579832,-9.5,0.0030120178538645148
-15.84873949579832,-9.1923076923076916,0.0055454585433846468
-15.84873949579832,-8.884615384615385,0.010177514913653251
-15.84873949579832,-8.5769230769230766,0.018586996488762081
-15.84873949579832,-8.2692307692307701,0.033694257103997413
-15.84873949579832,-7.9615384615384617,0.060423810023811066
-15.84873949579832,-7.6538461538461542,0.1067245519128663
-15.84873949579832,-7.3461538461538458,0.18467576289256352
-15.84873949579832,-7.0384615384615383,0.31117579711367144
-15.84873949579832,-6.7307692307692308,0.50729591648418693
-15.84873949579832,-6.4230769230769234,0.7952098402028086
-15.84873949579832,-6.115384615384615,1.1922316497014671
-15.84873949579832,-5.8076923076923075,1.7032128447477897
-15.84873949579832,-5.5,2.3146177323298707
