x,F
9.9999999999999995e-07,7.7884098730065388
1.096985797892384e-06,7.7883502052305635
1.2033778407775905e-06,7.7882867149143609
1.3200884008314168e-06,7.7882191571590083
1.4481182276745331e-06,7.788147271373469
1.5885651294280527e-06,7.7880707802686899
1.7426333860096507e-06,7.7879893887872216
1.9116440753857036e-06,7.7879027829641227
2.0970464013232308e-06,7.7878106287147384
2.3004301197729168e-06,7.7877125705446861
2.523539170434766e-06,7.7876082301770095
2.7682866303920668e-06,7.7874972050911229
3.0367711180354605e-06,7.7873790669679375
3.33129478793467e-06,7.7872533600350611
3.6543830709572543e-06,7.7871195993056093
4.0088063288984645e-06,7.7869772687038097
4.397603609302721e-06,7.7868258190700086
4.8241087041653734e-06,7.7866646660373116
5.2919787359584364e-06,7.7864931877715282
5.8052255160948954e-06,7.7863107225655419
6.3682499447185865e-06,7.7861165662786913
6.985879746785249e-06,7.7859099696109757
7.6634108680074626e-06,7.7856901352014676
8.4066528856183158e-06,7.7854562145393222
9.2219788233343213e-06,7.7852073046752102
1.0116379797662071e-05,7.7849424447201319
1.1097524964120721e-05,7.7846606121175457
1.217382727739662e-05,7.7843607186739874
1.3354515629299001e-05,7.7840416063322584
1.4649713983072849e-05,7.7837020426700914
1.6070528182616385e-05,7.7833407161061663
1.7629141180959481e-05,7.7829562307939337
1.9338917504552321e-05,7.7825471011824927
2.1214517849106319e-05,7.7821117462221379
2.3272024789604072e-05,7.7816484831906845
2.5529080682395165e-05,7.7811555211150134
2.8005038941836311e-05,7.780630953760312
3.0721129988617593e-05,7.7800727521574506
3.3700643292719318e-05,7.7794787566370003
3.6969127071950243e-05,7.7788466683356683
4.0554607358408275e-05,7.7781740401386328
4.4487828311275854e-05,7.7774582670182992
4.8802515836544335e-05,7.7766965757270627
5.3535666774107297e-05,7.7758860137981696
5.8727866131894771e-05,7.775023437805304
6.4423635087213697e-05,7.7741055008273641
7.0671812739274916e-05,7.7731286390606282
7.7525974886294644e-05,7.7720890575156734
8.5044893418026864e-05,7.7709827147310326
9.329304026284677e-05,7.7698053064299586
0.00010234114021054527,7.7685522480399927
0.00011226677735108136,7.767218655988084
0.00012315506032928262,7.7657993276761994
0.00013509935211980265,7.7642887200335204
0.00014820207057988585,7.7626809265317931
