M_1e14,z,Ez,rho_crit_kgm3,dA_Mpc,R500_Mpc,theta500_rad
0.5,0.050000000000000003,1.024117471933953,9.0185791010224765e-27,208.52006606356451,0.50273662149675591,0.0024109701137564445
0.5,0.16156816444446229,1.0842865137203821,1.0109430245483251e-26,592.58116460199869,0.48396170920322373,0.00081670095256465851
0.5,0.29999999999999999,1.1707826354847204,1.1786669687785369e-26,948.5397243199111,0.45982176508835387,0.00048476802529136162
0.5,0.5,1.3174270486067099,1.4924222651405658e-26,1298.2695076424238,0.42503300479497941,0.00032738425042558132
0.5,0.70656463958054339,1.4932320716361454,1.9173137468127273e-26,1523.7847129144509,0.3909808620437959,0.00025658536284681502
0.5,1,1.7800005932805107,2.724450125205874e-26,1699.2785958569484,0.3477711951706281,0.00020465813620149003
0.5,1.5,2.3518133312450207,4.7560264749804594e-26,1792.8236118197844,0.28882745535531207,0.0001611019907102924
0.5,2,3.0093660954008139,7.7873306517746948e-26,1771.5767948104883,0.24505130711962234,0.0001383238402504257
1,0.050000000000000003,1.024117471933953,9.0185791010224765e-27,208.52006606356451,0.63340845197679418,0.0030376285397384012
1,0.16156816444446229,1.0842865137203821,1.0109430245483251e-26,592.58116460199869,0.60975354476824295,0.001028978587221946
1,0.29999999999999999,1.1707826354847204,1.1786669687785369e-26,948.5397243199111,0.57933912103463248,0.00061076941127717111
1,0.5,1.3174270486067099,1.4924222651405658e-26,1298.2695076424238,0.53550802964126309,0.00041247829985898793
1,0.70656463958054339,1.4932320716361454,1.9173137468127273e-26,1523.7847129144509,0.49260501819502189,0.00032327729557833868
1,1,1.7800005932805107,2.724450125205874e-26,1699.2785958569484,0.43816424934257264,0.00025785309171783331
1,1.5,2.3518133312450207,4.7560264749804594e-26,1792.8236118197844,0.36389979078972934,0.00020297578824438875
1,2,3.0093660954008139,7.7873306517746948e-26,1771.5767948104883,0.3087453001442656,0.00017427711738090521
1.448139323,0.050000000000000003,1.024117471933953,9.0185791010224765e-27,208.52006606356451,0.71661732420482627,0.0034366692687237453
1.448139323,0.16156816444446229,1.0842865137203821,1.0109430245483251e-26,592.58116460199869,0.68985494638179312,0.0011641521464879438
1.448139323,0.29999999999999999,1.1707826354847204,1.1786669687785369e-26,948.5397243199111,0.65544507564958188,0.00069100424001470879
1.448139323,0.5,1.3174270486067099,1.4924222651405658e-26,1298.2695076424238,0.60585603190811255,0.0004666642668270787
1.448139323,0.70656463958054339,1.4932320716361454,1.9173137468127273e-26,1523.7847129144509,0.55731698705169685,0.00036574521156277219
1.448139323,1,1.7800005932805107,2.724450125205874e-26,1699.2785958569484,0.49572450595843076,0.00029172643797450493
